companny_name,img,companny_url,banks,days_open,last_updated,buy_cost,buy_variation,sale_cost,sale_variation,time,day
Dollar House,https://s3-ced-uploads-01.s3.amazonaws.com/1702304946735-dollar-house-v2.svg,https://dollarhouse.pe/?utm_source=ced,"BCP, Interbak","{'M_F': '9 am - 7 pm.', 'Saturdays': '10 am - 1pm', 'Sundays': ''}",2024-09-26T22:57:19.410Z,3.72,0.0,3.737,0.0,08:29:42,27-09-2024
Rextie,https://s3-ced-uploads-01.s3.amazonaws.com/1700582494591-rextie.png,https://web.rextie.com/registrate?utm_source=cuanto-esta-el-dolar&utm_medium=hubspot&utm_campaign=cuanto-esta-el-dolar&utm_term=listado&utm_content= ,"BCP, Interbank, Pichincha, BANBIF","{'M_F': '8 am - 8 pm', 'Saturdays': '9 am - 3 pm', 'Sundays': ''}",2024-09-17T16:57:36.867Z,3.7085,0.0,3.7435,0.0,08:29:42,27-09-2024
CambiaFX,https://s3-ced-uploads-01.s3.amazonaws.com/1703001286669-cambiafx_v2.svg,https://cambiafx.pe/?utm_source=display&utm_medium=banner&utm_campaign=Cuanto_esta_el_Dolar&utm_content=boton_cambiar,"BCP, Interbank, Banbif, Yape, Plin, Otros Bancos Transf. Interbancaria","{'M_F': '9 am - 7pm', 'Saturdays': '10 am - 1 pm', 'Sundays': ''}",2024-09-17T22:57:19.785Z,3.721,0.002,3.742,0.0,08:29:42,27-09-2024
Cambio Mundial,https://s3-ced-uploads-01.s3.amazonaws.com/1706405397247-cambiomundial-2.svg,https://www.cambiomundial.com/?utm_source=ced,BCP,"{'M_F': '9 am - 6 pm', 'Saturdays': '9 am - 1:00 pm', 'Sundays': ''}",2024-09-17T19:10:55.609Z,3.714,-0.001,3.732,-0.005,08:29:42,27-09-2024
Perú dolar,https://s3-ced-uploads-01.s3.amazonaws.com/1710258214508-perudolar.svg,https://perudolar.pe/?utm_source=ced&utm_medium=listado,BCP,"{'M_F': '9 am - 4 pm', 'Saturdays': '-', 'Sundays': ''}",2024-09-26T18:12:08.932Z,3.724,-0.001,3.745,0.0,08:29:42,27-09-2024
Okane,https://s3-ced-uploads-01.s3.amazonaws.com/1703885579335-okane.svg,https://www.okanecambiodigital.com/?utm_source=ced,BCP,"{'M_F': '9 am - 6pm', 'Saturdays': '9 am - 2 pm', 'Sundays': ''}",2024-09-13T04:26:45.596Z,3.705,-0.005,3.75,0.0,08:29:42,27-09-2024
Dichikash,https://s3-ced-uploads-01.s3.amazonaws.com/1703885241775-dichikash.svg,https://dichikash.com/?utm_source=ced,"BCP, Interbank, BBVA","{'M_F': '9 am - 7 pm', 'Saturdays': '9 am - 7 pm', 'Sundays': '10 am- 1 pm'}",2024-09-13T03:58:55.512Z,3.713,-0.002,3.748,0.003,08:29:42,27-09-2024
chapacambio,https://s3-ced-uploads-01.s3.amazonaws.com/1703885660214-chapa-cambio.svg,https://chapacambio.com/?c=CHAPACUANTO,"BCP, BanBif, Interbank, BBVA, Scotiabank","{'M_F': '8:30 am - 6 pm', 'Saturdays': '8:30 am - 1 pm', 'Sundays': ''}",2024-09-13T03:58:28.951Z,3.719,-0.001,3.737,-0.001,08:29:42,27-09-2024
Western Union,https://s3-ced-uploads-01.s3.amazonaws.com/1703611552019-western-union.svg,https://westernunionperu.pe/cambiodemoneda?utm_source=ced&utm_content=listado,"BCP, BANBIF, Pichincha, Scotiabank","{'M_F': '9 am - 5:00 pm', 'Saturdays': '', 'Sundays': ''}",2024-09-26T22:57:19.904Z,3.72,0.0,3.745,0.0,08:29:42,27-09-2024
Dolarex,https://s3-ced-uploads-01.s3.amazonaws.com/1706407302313-dolarex.svg,https://dolarex.pe/?utm_source=ced,"BCP, BBVA, Interbank","{'M_F': '8 am - 6 pm', 'Saturdays': '8 am - 2 pm', 'Sundays': ''}",2024-09-13T03:59:37.933Z,3.718,0.003,3.75,0.005,08:29:42,27-09-2024
sr Cambio,https://s3-ced-uploads-01.s3.amazonaws.com/1703885507016-sr-cambio.png,https://srcambio.pe/?utm_source=ced&utm_medium=listado,BCP,"{'M_F': '9 am - 6pm', 'Saturdays': '9 am - 1pm', 'Sundays': ''}",2024-05-13T19:03:22.616Z,3.71,-0.005,3.745,0.0,08:29:42,27-09-2024
Money House,https://s3-ced-uploads-01.s3.amazonaws.com/1706408745945-money_house.svg,https://www.moneyhouse.pe/?utm_source=ced,BCP e INTERBAK,"{'M_F': '8:30 am - 6 pm ', 'Saturdays': '9 am - 1 pm', 'Sundays': ''}",2024-09-13T04:01:20.192Z,3.726,0.0,3.76,-0.002,08:29:42,27-09-2024
cambiosol,https://s3-ced-uploads-01.s3.amazonaws.com/1703886518616-cambiosol.svg,https://cambiosol.pe/?utm_source=ced,BCP,"{'M_F': '9 am - 6 pm', 'Saturdays': '9 am a 1 pm', 'Sundays': ''}",2024-09-26T22:57:20.105Z,3.72,0.0,3.746,0.0,08:29:42,27-09-2024
DLS Money,https://s3-ced-uploads-01.s3.amazonaws.com/1703888213856-dlsmoney.svg,"https://dlsmoney.com/?utm_source=ced&utm
_medium=listado","BCP, Interbank","{'M_F': '9 am - 7 pm', 'Saturdays': '9 AM - 1pm', 'Sundays': ''}",2024-09-13T03:48:21.112Z,3.72,0.0,3.75,0.0,08:29:42,27-09-2024
Yanki,https://s3-ced-uploads-01.s3.amazonaws.com/1703886832755-yanki.svg,https://yanki.pe?utm_source=CED&utm_medium=paid&utm_campaign=diciembre,BCP,"{'M_F': '9 am - 7 pm', 'Saturdays': '9 am - 2 pm', 'Sundays': ''}",2024-09-13T03:58:44.072Z,3.715,0.0,3.745,0.0,08:29:42,27-09-2024
Instakash,https://s3-ced-uploads-01.s3.amazonaws.com/1720489567199-instakash_v2.svg,https://instakash.net/?utm_source=ced,"BCP, Interbank","{'M_F': '9 am - 7 pm', 'Saturdays': '9 am - 2 pm', 'Sundays': ''}",2024-09-13T03:57:54.370Z,3.712,-0.017,3.746,0.0,08:29:42,27-09-2024
Tu Cambista,https://s3-ced-uploads-01.s3.amazonaws.com/1703885099701-tu-cambista.svg,https://tucambista.pe/ced?utm_source=ced&utm_medium=paid&utm_campaign=pricelist&pc=CED,"BCP, Interbank, Banbif","{'M_F': '8 am - 8 pm', 'Saturdays': '9 am - 3 pm', 'Sundays': ''}",2024-05-13T19:04:47.318Z,3.7195,0.0,3.7415,-0.001,08:29:42,27-09-2024
inka money,https://s3-ced-uploads-01.s3.amazonaws.com/1703888162897-inkamoney.svg,https://inkamoney.com/?utm_source=ced&utm_medium=listado,"BCP, Interbank","{'M_F': '9 am - 6:30 pm', 'Saturdays': '9 am - 1 pm', 'Sundays': ''}",2024-09-13T03:48:04.753Z,3.725,0.0,3.742,0.0,08:29:42,27-09-2024
Hir Power,https://s3-ced-uploads-01.s3.amazonaws.com/1703887956636-hirpower.svg,https://hirpower.com/?utm_source=ced&utm_medium=listado,BCP,"{'M_F': '8 am - 8 pm', 'Saturdays': '8 am - 2 pm', 'Sundays': ''}",2024-09-13T03:48:13.833Z,3.71,-0.01,3.75,0.0,08:29:42,27-09-2024
Roblex,https://s3-ced-uploads-01.s3.amazonaws.com/1703888186335-roblex.svg,https://roblex.pe/?utm_source=ced&utm_medium=listado,BCP,"{'M_F': '9 am - 6:30 pm', 'Saturdays': '9 am - 1:30 pm', 'Sundays': ''}",2024-09-13T03:48:28.472Z,3.711,-0.007,3.747,0.0,08:29:42,27-09-2024
Rissan,https://s3-ced-uploads-01.s3.amazonaws.com/1703888345010-Rissan.svg,https://rissanpe.com/?utm_source=ced&utm_medium=listado,BCP,"{'M_F': '9 am - 6pm', 'Saturdays': '9 am - 1pm', 'Sundays': ''}",2024-09-13T03:49:01.652Z,3.71,0.0,3.75,0.0,08:29:42,27-09-2024
vip capital,https://s3-ced-uploads-01.s3.amazonaws.com/1703888440358-vip-capital.png,https://vipcapital.com.pe/?utm_source=ced,"BCP, Scotiabank","{'M_F': '9 am - 6pm', 'Saturdays': '9 am - 1pm', 'Sundays': ''}",2024-09-13T03:59:25.011Z,3.71,0.0,3.738,0.0,08:29:42,27-09-2024
Cambio Mas,https://s3-ced-uploads-01.s3.amazonaws.com/1706410300024-cambio-mas-2.svg,https://cambiomas.com.pe/?utm_source=ced,"BCP, BBVA, Interbank","{'M_F': '8 am - 6 pm', 'Saturdays': '8 am - 6 pm', 'Sundays': ''}",2024-09-13T03:57:46.412Z,3.71,0.0,3.755,-0.005,08:29:42,27-09-2024
Cambio Digital,https://s3-ced-uploads-01.s3.amazonaws.com/1721940518656-Cambio-digital.svg,https://cambiodigitalperu.com/,BCP,"{'M_F': '9am - 7pm', 'Saturdays': '9am - 1pm', 'Sundays': ''}",2024-08-31T18:14:26.018Z,3.715,-0.008,3.745,0.0,08:29:42,27-09-2024
Chaski Dolar,https://s3-ced-uploads-01.s3.amazonaws.com/1724079421732-chaski dolar-3.svg,https://chaskidolar.com/?utm_source=ced,"BCP, Interbank","{'M_F': '9 am - 6 pm', 'Saturdays': '9 am - 12:30 pm', 'Sundays': ''}",2024-08-19T20:45:17.940Z,3.707,-0.001,3.738,-0.005,08:29:42,27-09-2024
kambio.online,https://s3-ced-uploads-01.s3.amazonaws.com/1723251732620-Kambio-online.svg,https://kambio.online/,BCP,"{'M_F': '9 am - 6 pm', 'Saturdays': '9 am - 1 pm', 'Sundays': '9am - 1pm'}",2024-09-26T18:54:16.430Z,3.728,-0.001,3.738,-0.001,08:29:42,27-09-2024
Dollar House,https://s3-ced-uploads-01.s3.amazonaws.com/1702304946735-dollar-house-v2.svg,https://dollarhouse.pe/?utm_source=ced,"BCP, Interbak","{'M_F': '9 am - 7 pm.', 'Saturdays': '10 am - 1pm', 'Sundays': ''}",2024-09-26T22:57:19.410Z,3.72,0.0,3.737,0.0,08:41:10,27-09-2024
Rextie,https://s3-ced-uploads-01.s3.amazonaws.com/1700582494591-rextie.png,https://web.rextie.com/registrate?utm_source=cuanto-esta-el-dolar&utm_medium=hubspot&utm_campaign=cuanto-esta-el-dolar&utm_term=listado&utm_content= ,"BCP, Interbank, Pichincha, BANBIF","{'M_F': '8 am - 8 pm', 'Saturdays': '9 am - 3 pm', 'Sundays': ''}",2024-09-17T16:57:36.867Z,3.7085,0.0,3.7455,0.0,08:41:10,27-09-2024
