name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.683,-0.013,3.856,0.014,08:24:03,14-09-2024
scotiabank,bank,3.685,0.001,3.864,0.01,08:24:03,14-09-2024
Interbank,bank,3.705,-0.004,3.833,0.015,08:24:03,14-09-2024
nacion,bank,3.73,0.0,3.82,0.0,08:24:03,14-09-2024
bcp,bank,3.734,0.007,3.821,0.009,08:24:03,14-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,08:24:03,14-09-2024
canada,currency,2.75,-0.005,2.86,-0.009,08:24:03,14-09-2024
euro ocoña,currency,4.3,0.003,4.33,0.015,08:24:03,14-09-2024
Libra,currency,5.07,0.054,5.12,-0.008,08:24:03,14-09-2024
bbva,bank,3.683,-0.013,3.856,0.014,08:40:08,14-09-2024
scotiabank,bank,3.685,0.001,3.864,0.01,08:40:08,14-09-2024
Interbank,bank,3.705,-0.004,3.833,0.015,08:40:08,14-09-2024
nacion,bank,3.73,0.0,3.82,0.0,08:40:08,14-09-2024
bcp,bank,3.734,0.007,3.821,0.009,08:40:08,14-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,08:40:08,14-09-2024
canada,currency,2.75,-0.005,2.86,-0.009,08:40:08,14-09-2024
euro ocoña,currency,4.3,0.003,4.33,0.015,08:40:08,14-09-2024
Libra,currency,5.07,0.054,5.12,-0.008,08:40:08,14-09-2024
bbva,bank,3.683,-0.013,3.856,0.014,09:20:35,14-09-2024
scotiabank,bank,3.685,0.001,3.864,0.01,09:20:35,14-09-2024
Interbank,bank,3.705,-0.004,3.833,0.015,09:20:35,14-09-2024
nacion,bank,3.73,0.0,3.82,0.0,09:20:35,14-09-2024
bcp,bank,3.734,0.007,3.821,0.009,09:20:35,14-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,09:20:35,14-09-2024
canada,currency,2.75,-0.005,2.86,-0.009,09:20:35,14-09-2024
euro ocoña,currency,4.3,0.003,4.33,0.015,09:20:35,14-09-2024
Libra,currency,5.07,0.054,5.12,-0.008,09:20:35,14-09-2024
bbva,bank,3.683,-0.013,3.856,0.014,09:39:45,14-09-2024
scotiabank,bank,3.685,0.001,3.864,0.01,09:39:45,14-09-2024
Interbank,bank,3.705,-0.004,3.833,0.015,09:39:45,14-09-2024
nacion,bank,3.73,0.0,3.82,0.0,09:39:45,14-09-2024
bcp,bank,3.734,0.007,3.821,0.009,09:39:45,14-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,09:39:45,14-09-2024
canada,currency,2.75,-0.005,2.86,-0.009,09:39:45,14-09-2024
euro ocoña,currency,4.3,0.003,4.33,0.015,09:39:45,14-09-2024
Libra,currency,5.07,0.054,5.12,-0.008,09:39:45,14-09-2024
bbva,bank,3.683,-0.013,3.856,0.014,10:22:24,14-09-2024
scotiabank,bank,3.685,0.001,3.864,0.01,10:22:24,14-09-2024
Interbank,bank,3.705,-0.004,3.833,0.015,10:22:24,14-09-2024
nacion,bank,3.73,0.0,3.82,0.0,10:22:24,14-09-2024
bcp,bank,3.734,0.007,3.821,0.009,10:22:24,14-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,10:22:24,14-09-2024
canada,currency,2.75,-0.005,2.86,-0.009,10:22:24,14-09-2024
euro ocoña,currency,4.3,0.003,4.33,0.015,10:22:24,14-09-2024
Libra,currency,5.07,0.054,5.12,-0.008,10:22:24,14-09-2024
bbva,bank,3.683,-0.013,3.856,0.014,10:39:50,14-09-2024
scotiabank,bank,3.685,0.001,3.864,0.01,10:39:50,14-09-2024
Interbank,bank,3.705,-0.004,3.833,0.015,10:39:50,14-09-2024
nacion,bank,3.73,0.0,3.82,0.0,10:39:50,14-09-2024
bcp,bank,3.734,0.007,3.821,0.009,10:39:50,14-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,10:39:50,14-09-2024
canada,currency,2.75,-0.005,2.86,-0.009,10:39:50,14-09-2024
euro ocoña,currency,4.3,0.003,4.33,0.015,10:39:50,14-09-2024
Libra,currency,5.07,0.054,5.12,-0.008,10:39:50,14-09-2024
bbva,bank,3.683,-0.013,3.856,0.014,11:26:57,14-09-2024
scotiabank,bank,3.685,0.001,3.864,0.01,11:26:57,14-09-2024
Interbank,bank,3.705,-0.004,3.833,0.015,11:26:57,14-09-2024
nacion,bank,3.73,0.0,3.82,0.0,11:26:57,14-09-2024
bcp,bank,3.734,0.007,3.821,0.009,11:26:57,14-09-2024
Yuan,currency,0.47,0.01,0.56,0.01,11:26:57,14-09-2024
canada,currency,2.75,-0.005,2.86,-0.009,11:26:57,14-09-2024
euro ocoña,currency,4.3,0.003,4.33,0.015,11:26:57,14-09-2024
Libra,currency,5.07,0.054,5.12,-0.008,11:26:57,14-09-2024
